iso3,country_name,lat,lon
DZA,Algeria,28.03,1.66
AGO,Angola,-11.20,17.87
BEN,Benin,9.31,2.32
BWA,Botswana,-22.33,24.68
BFA,Burkina Faso,12.24,-1.56
BDI,Burundi,-3.37,29.92
CPV,Cabo Verde,16.00,-24.01
CMR,Cameroon,7.37,12.35
CAF,Central African Republic,6.61,20.94
TCD,Chad,15.45,18.73
COM,Comoros,-11.88,43.87
COG,Congo,-0.23,15.83
COD,"Congo, Dem. Rep.",-4.04,21.76
CIV,Cote d'Ivoire,7.54,-5.55
DJI,Djibouti,11.83,42.59
EGY,"Egypt, Arab Rep.",26.82,30.80
GNQ,Equatorial Guinea,1.65,10.27
ERI,Eritrea,15.18,39.78
SWZ,Eswatini,-26.52,31.47
ETH,Ethiopia,9.15,40.49
GAB,Gabon,-0.80,11.61
GMB,"Gambia, The",13.44,-15.31
GHA,Ghana,7.95,-1.02
GIN,Guinea,9.95,-9.70
GNB,Guinea-Bissau,11.80,-15.18
KEN,Kenya,-0.02,37.91
LSO,Lesotho,-29.61,28.23
LBR,Liberia,6.43,-9.43
LBY,Libya,26.34,17.23
MDG,Madagascar,-18.77,46.87
MWI,Malawi,-13.25,34.30
MLI,Mali,17.57,-4.00
MRT,Mauritania,21.01,-10.94
MUS,Mauritius,-20.35,57.55
MAR,Morocco,31.79,-7.09
MOZ,Mozambique,-18.67,35.53
NAM,Namibia,-22.96,18.49
NER,Niger,17.61,8.08
NGA,Nigeria,9.08,8.68
RWA,Rwanda,-1.94,29.87
STP,Sao Tome and Principe,0.19,6.61
SEN,Senegal,14.50,-14.45
SYC,Seychelles,-4.68,55.49
SLE,Sierra Leone,8.46,-11.78
SOM,Somalia,5.15,46.20
ZAF,South Africa,-30.56,22.94
SSD,South Sudan,6.88,31.31
SDN,Sudan,12.86,30.22
TZA,Tanzania,-6.37,34.89
TGO,Togo,8.62,0.82
TUN,Tunisia,33.89,9.54
UGA,Uganda,1.37,32.29
ZMB,Zambia,-13.13,27.85
ZWE,Zimbabwe,-19.02,29.15
ESH,Western Sahara,24.22,-12.89
